ARPJun 5, 2025 3:54:38 PM
DEV	  Src MAC		Dest MAC		Source IP	Dest IP		Type	Vlan	Proto	D-Port	State  Idle sec  RL-Class  RL-Kbps  DSCP
----------------------------------------------------------------------------------------------------------------------------------------------------------------
wl1.2     90-ca-fa-b3-66-64   	0c-c4-7a-a8-63-00	192.168.1.121  	192.168.1.221  	0x0800	0001	UDP	58437	  RUN      12       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	1a-c1-49-53-e4-19	192.168.1.121  	104.154.127.247	0x0800	0001	TCP	443	  RUN      21       0	         0    - 
wl1.2     90-ca-fa-b3-66-64   	1a-c1-49-53-e4-19	192.168.1.121  	172.217.12.131 	0x0800	0001	TCP	80	  RUN      27       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	44.242.131.93  	0x0800	0001	TCP	443	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.221  	0x0800	0001	UDP	58437	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	8.8.8.8        	0x0800	0001	UDP	53	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.203  	0x0800	0001	UDP	53	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.221  	0x0800	0001	UDP	37066	  RUN       1       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	ec-8e-77-a6-b1-4d	192.168.1.151  	192.168.1.172  	0x0800	0001	TCP	64020	  RUN       2       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	104.199.241.202	0x0800	0001	TCP	4070	  RUN       7       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.18   	0x0800	0001	UDP	58457	  RUN      11       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.17   	0x0800	0001	UDP	55846	  RUN      11       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	cc-f4-11-c3-53-65	192.168.1.151  	192.168.1.240  	0x0800	0001	TCP	42382	  RUN      15       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	142.250.217.131	0x0800	0001	TCP	80	  RUN      17       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	0c-c4-7a-a8-63-00	192.168.1.151  	192.168.1.17   	0x0800	0001	TCP	49334	  RUN      21       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	142.250.68.42  	0x0800	0001	UDP	443	  RUN      61       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	142.250.68.42  	0x0800	0001	TCP	443	  RUN      61       0	         0    - 
wl1.2     ac-67-84-e5-43-a2   	1a-c1-49-53-e4-19	192.168.1.151  	216.239.36.223 	0x0800	0001	TCP	443	  RUN      61       0	         0    - 
aximac1   cc-f4-11-ac-12-02   	ec-8e-77-a6-b1-4d	192.168.1.145  	192.168.1.172  	0x0800	0001	TCP	59538	  RUN       3       0	         0    - 
aximac1   cc-f4-11-c1-f0-f2   	ec-8e-77-a6-b1-4d	192.168.1.125  	192.168.1.172  	0x0800	0001	TCP	57156	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	ec-8e-77-a6-b1-4d	192.168.1.128  	192.168.1.172  	0x0800	0001	TCP	59579	  RUN       0       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	0c-c4-7a-a8-63-00	192.168.1.128  	192.168.1.17   	0x0800	0001	UDP	55846	  RUN       1       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	1a-c1-49-53-e4-19	192.168.1.128  	104.154.127.247	0x0800	0001	TCP	4070	  RUN       1       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	0c-c4-7a-a8-63-00	192.168.1.128  	192.168.1.221  	0x0800	0001	UDP	58437	  RUN       1       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	1a-c1-49-53-e4-19	192.168.1.128  	142.251.40.33  	0x0800	0001	TCP	443	  RUN       4       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	0c-c4-7a-a8-63-00	192.168.1.128  	192.168.1.221  	0x0800	0001	UDP	37066	  RUN      10       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	0c-c4-7a-a8-63-00	192.168.1.128  	192.168.1.18   	0x0800	0001	UDP	58457	  RUN      14       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	ac-67-84-21-80-89	192.168.1.128  	192.168.1.135  	0x0800	0001	TCP	40074	  RUN      22       0	         0    - 
wl1.2     ac-67-84-e8-8a-15   	1a-c1-49-53-e4-19	192.168.1.128  	142.250.217.131	0x0800	0001	TCP	80	  RUN      46       0	         0    - 
aximac1   cc-f4-11-9d-16-83   	ac-67-84-21-80-89	192.168.1.219  	192.168.1.135  	0x0800	0001	UDP	53099	  RUN       1       0	         0    - 
aximac1   cc-f4-11-9d-16-83   	ec-8e-77-a6-b1-4d	192.168.1.219  	192.168.1.172  	0x0800	0001	TCP	56807	  RUN       4       0	         0    - 
wl1.2     ac-67-84-21-80-89   	cc-f4-11-9d-16-83	192.168.1.135  	192.168.1.219  	0x0800	0001	UDP	10001	  RUN       1       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	74.125.137.188 	0x0800	0001	TCP	5228	  RUN       2       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	142.250.69.10  	0x0800	0001	TCP	443	  RUN       2       0	         0    - 
wl1.2     ac-67-84-21-80-89   	ec-8e-77-a6-b1-4d	192.168.1.135  	192.168.1.172  	0x0800	0001	TCP	60760	  RUN       3       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	192.178.49.202 	0x0800	0001	TCP	443	  RUN       8       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	142.250.68.227 	0x0800	0001	TCP	80	  RUN      16       0	         0    - 
wl1.2     ac-67-84-21-80-89   	ac-67-84-e8-8a-15	192.168.1.135  	192.168.1.128  	0x0800	0001	TCP	9000	  RUN      22       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	142.251.2.188  	0x0800	0001	TCP	5228	  RUN      24       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	8.8.8.8        	0x0800	0001	UDP	53	  RUN      30       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	8.8.8.8        	0x0800	0001	ICMP	0	  RUN      30       0	         0    - 
wl1.2     ac-67-84-21-80-89   	1a-c1-49-53-e4-19	192.168.1.135  	192.168.1.1    	0x0800	0001	ICMP	0	  RUN      31       0	         0    - 
aximac1   cc-f4-11-b0-42-0f   	ec-8e-77-a6-b1-4d	192.168.1.129  	192.168.1.172  	0x0800	0001	TCP	60100	  RUN       4       0	         0    - 
aximac1   cc-f4-11-c3-53-65   	ec-8e-77-a6-b1-4d	192.168.1.240  	192.168.1.172  	0x0800	0001	TCP	63966	  RUN       3       0	         0    - 
aximac1   cc-f4-11-c3-53-65   	ec-8e-77-a6-b1-4d	192.168.1.240  	192.168.1.172  	0x0800	0001	TCP	63968	  RUN       3       0	         0    - 
aximac1   cc-f4-11-c3-53-65   	ac-67-84-e5-43-a2	192.168.1.240  	192.168.1.151  	0x0800	0001	TCP	9000	  RUN      15       0	         0    - 
aximac1   20-df-b9-1d-60-09   	ec-8e-77-a6-b1-4d	192.168.1.133  	192.168.1.172  	0x0800	0001	TCP	51231	  RUN       1       0	         0    - 
wl1.2     04-27-28-86-e9-10   	0c-c4-7a-a8-63-00	192.168.1.138  	192.168.1.18   	0x0800	0001	UDP	58457	  RUN       0       0	         0    - 
wl1.2     04-27-28-86-e9-10   	1a-c1-49-53-e4-19	192.168.1.138  	40.81.122.228  	0x0800	0001	UDP	3544	  RUN       0       0	         0    - 
wl1.2     04-27-28-86-e9-10   	0c-c4-7a-a8-63-00	192.168.1.138  	192.168.1.221  	0x0800	0001	UDP	58437	  RUN       1       0	         0    - 
wl1.2     04-27-28-86-e9-10   	0c-c4-7a-a8-63-00	192.168.1.138  	192.168.1.221  	0x0800	0001	UDP	37066	  RUN       1       0	         0    - 
wl1.2     04-27-28-86-e9-10   	0c-c4-7a-a8-63-00	192.168.1.138  	192.168.1.17   	0x0800	0001	UDP	55846	  RUN      10       0	         0    - 
wl1.2     04-27-28-86-e9-10   	1a-c1-49-53-e4-19	192.168.1.138  	20.59.87.225   	0x0800	0001	TCP	443	  RUN      58       0	         0    - 
wl2.3     2c-d1-c6-41-01-86   	1a-c1-49-53-e4-19	192.168.1.146  	35.245.91.53   	0x0800	0001	UDP	55055	  RUN      26       0	         0    - 
