file,title,group,train,pages,archive,origin,gap
security-application-identification,Junos® OS AppSecure Services Feature Guide for Security Devices,G1,-,374,A008,t,-
security-attack-denial-of-service,Junos® OS Attack Detection and Prevention Feature Guide for Security D,G1,-,238,A008,t,-
security-authentication-firewall,Junos® OS Authentication and Integrated User Firewalls Feature Guide f,G6,-,638,A008,t,-
security-basic-zone-interface,Junos® OS Security Basics Guide for Security Devices,G3,-,384,A008,t,-
security-chassis-cluster,Junos® OS Chassis Cluster Feature Guide for SRX Series Devices,G2,-,632,A008,t,-
security-gprs,Junos® OS General Packet Radio Service Feature Guide for Security Devi,G1,-,242,A008,t,-
security-idp-migration,Junos® OS IDP Series Appliance to SRX Series Services Gateway Migratio,G1,-,52,A008,t,-
security-idp-policy,Junos® OS Intrusion Detection and Prevention Feature Guide for Securit,G8,-,516,A008,t,-
security-layer2-bridging-transparent-mode,Junos® OS Ethernet Switching and Layer 2 Transparent Mode Feature Guid,G3,-,546,A008,t,-
security-logical-system-master-admin,Junos® OS Logical Systems Feature Guide for Security Devices,G4,-,482,A008,t,-
security-mpls,Junos® OS MPLS Feature Guide for Security Devices,G7,-,256,A008,t,-
security-nat,Junos® OS Network Address Translation Feature Guide for Security Devic,G3,-,360,A008,t,-
security-processing-overview,Junos® OS Flow-Based and Packet-Based Processing Feature Guide for Sec,G1,-,640,A008,t,-
security-swconfig-initial-device-config,Junos® OS Administration Guide for Security Devices,G1,-,794,A008,t,-
security-utm-overview,Junos® OS UTM Feature Guide for Security Devices,G1,-,522,A008,t,-
security-vpn-ipsec,Junos® OS VPN Feature Guide for Security Devices,G1,-,1322,A008,t,-
TW_HardeningJunosDevices_2ndEd,"This Week: Hardening Junos Devices, 2nd Edition",G1,-,152,A072,t,-
TW_HardeningJunosDevices_2ndEd_Checklist,Hardening Junos Devices Checklist,G1,-,2,A072,t,-
U_Juniper_EX_Switches_STIG_V1_Release_Memo,U_Juniper_EX_Switches_STIG_V1_Release_Memo,G1,-,1,A073,t,-
U_Readme_SRG_and_STIG,SRG and STIG Readme,G1,-,2,A073,t,-
