file,title,topic,release,pages,path
JSA 7.3.2 Managing Juniper SRX PCAP Guide,Juniper Secure Analytics Managing Juniper SRX PCAP Data,flows-pcap,JSA 7.3.2,26,markdown2/extracted/jsa-doc-archives-7.3.2/JSA 7.3.2 Managing Juniper SRX PCAP Guide.md
jatp-vjatp-install-setup-guide,How to Install and Set Up Virtual Juniper Advanced Threat Prevention,deployment,JATP archive,26,markdown2/extracted/jatp-doc-archives/jatp-vjatp-install-setup-guide.md
jsa-big-data-management-guide,Juniper Secure Analytics Big Data Management Guide,general,JSA 2014.2,26,markdown2/extracted/jsa-doc-archives-2014.2/jsa-big-data-management-guide.md
jsa-managing-juniper-pcap-data.pdf,Juniper Secure Analytics Managing Juniper SRX PCAP Data,flows-pcap,JSA 7.3.2,26,markdown2/extracted/jsa-doc-archives-7.3.2/jsa-managing-juniper-pcap-data.pdf.md
jsa-packet-capture-user-guide,Juniper Secure Analytics Packet Capture Users Guide,flows-pcap,JSA 2014.5,26,markdown2/extracted/jsa-doc-archives-2014.5/jsa-packet-capture-user-guide.md
jsa-va-installation-guide,Juniper Secure Analytics Virtual Appliance Installation Guide,deployment,JSA 7.3.3,26,markdown2/extracted/jsa-doc-archives-7.3.3/jsa-va-installation-guide.md
strm-lm-upgrade-guide,STRM Log Manager Upgrade Guide,operations,STRM 2013.2,26,markdown2/extracted/strm-doc-archives/2013_2/strm-lm-upgrade-guide.md
JSA-2014.3.r1-Patch-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 2014.3,24,markdown2/extracted/jsa-doc-archives-2014.3/JSA-2014.3.r1-Patch-Release-Notes.md
JSA2014.3.r2-Patch-Release-Notes,Juniper Networks 2014.3.r2 Patch Release Notes,operations,JSA 2014.3,24,markdown2/extracted/jsa-doc-archives-2014.3/JSA2014.3.r2-Patch-Release-Notes.md
jsa-release-notes-2014.1-patch2_latest,IBM Security QRadar SIEM Release Notes,operations,JSA 2014.1,24,markdown2/extracted/jsa-doc-archives-2014.1/jsa-release-notes-2014.1-patch2_latest.md
jsa-lsm-app,QRadar Log Source Management App,log-source,JSA 7.4.2,23,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-lsm-app.md
jsa-managing-juniper-pcap-data,Juniper Secure Analytics Managing Juniper SRX PCAP Data,flows-pcap,JSA 7.3.3,23,markdown2/extracted/jsa-doc-archives-7.3.3/jsa-managing-juniper-pcap-data.md
jsa-upgrade-guide,Upgrading JSA to 2014.8,operations,JSA 2014.8,23,markdown2/extracted/jsa-doc-archives-2014.8/jsa-upgrade-guide.md
jsa-whats-new,Juniper Secure Analytics What’s New Guide,general,JSA 7.4.2,23,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-whats-new.md
jatp-central-managers-users-guide,Manager of Central Managers User’s Guide,jatp,JATP archive,22,markdown2/extracted/jatp-doc-archives/jatp-central-managers-users-guide.md
jatp-private-mode-guide,Juniper Advanced Threat Prevention Appliance—Private Mode,jatp,JATP archive,22,markdown2/extracted/jatp-doc-archives/jatp-private-mode-guide.md
jsa-assets-vortex-guide,Juniper Secure Analytics Assets Vortex,general,JSA 2014.3,22,markdown2/extracted/jsa-doc-archives-2014.3/jsa-assets-vortex-guide.md
jsa-packet-capture-reference-guide,Juniper Secure Analytics Packet Capture Quick Reference Guide,flows-pcap,JSA 2014.4,22,markdown2/extracted/jsa-doc-archives-2014.4/jsa-packet-capture-reference-guide.md
la-upgrade-guide,JSA Log Analytics Upgrade Guide,operations,JSA 2014.1,22,markdown2/extracted/jsa-doc-archives-2014.1/la-upgrade-guide.md
lm-upgrade-guide,Log Manager Upgrade Guide,operations,JSA 2014.4,22,markdown2/extracted/jsa-doc-archives-2014.4/lm-upgrade-guide.md
JSA2014.3.r1-Patch-Release-Notes,Juniper Networks 2014.3.r1 Patch Release Notes,operations,JSA 2014.3,21,markdown2/extracted/jsa-doc-archives-2014.3/JSA2014.3.r1-Patch-Release-Notes.md
jsa-nsm-plugin,Juniper Secure Analytics NSM Plug-In Users Guide,log-source,JSA 7.3.3,21,markdown2/extracted/jsa-doc-archives-7.3.3/jsa-nsm-plugin.md
strm-nsm-plugin,STRM NSM Plug-In User Guide,log-source,STRM 2013.1,21,markdown2/extracted/strm-doc-archives/2013_1/strm-nsm-plugin.md
strm-upgrade-guide,Upgrading to STRM 2013.1 Guide,operations,STRM 2013.1,21,markdown2/extracted/strm-doc-archives/2013_1/strm-upgrade-guide.md
jatp-mac-os-x-quick-start-guide,Mac OS X Quick Start Guide,jatp,JATP archive,20,markdown2/extracted/jatp-doc-archives/jatp-mac-os-x-quick-start-guide.md
jsa-la-migration,Migrating Log Manager to JSA,deployment,JSA 2014.8,20,markdown2/extracted/jsa-doc-archives-2014.8/jsa-la-migration.md
jsa-release-notes,Juniper Secure Analytics Release Notes,operations,JSA 7.3.1,20,markdown2/extracted/jsa-doc-archives-7.3.1/jsa-release-notes.md
JSA-7.3.1-Patch-7-qcow2-Release-Notes,Juniper Secure AnalyticsPatch Release Notes Release Notes,operations,JSA 7.3.1,19,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-7-qcow2-Release-Notes.md
JSA-7.3.1-Patch-9-qcow2-Release-Notes,Juniper Secure AnalyticsPatch Release Notes Release Notes,operations,JSA 7.3.1,19,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-9-qcow2-Release-Notes.md
JSA-7.3.2-Patch-1-qcow2-Release-Notes,Juniper Secure AnalyticsPatch Release Notes Release Notes,operations,JSA 7.3.2,19,markdown2/extracted/jsa-doc-archives-7.3.2/JSA-7.3.2-Patch-1-qcow2-Release-Notes.md
JSA-7.3.2-Patch-2-qcow2-Release-Notes,Juniper Secure AnalyticsPatch Release Notes Release Notes,operations,JSA 7.3.2,19,markdown2/extracted/jsa-doc-archives-7.3.2/JSA-7.3.2-Patch-2-qcow2-Release-Notes.md
JSA-7.3.2-Patch-3-qcow2-Release-Notes,Juniper Secure AnalyticsPatch Release Notes Release Notes,operations,JSA 7.3.2,19,markdown2/extracted/jsa-doc-archives-7.3.2/JSA-7.3.2-Patch-3-qcow2-Release-Notes.md
JSA-7.3.3-qcow2-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.3.3,19,markdown2/extracted/jsa-doc-archives-7.3.3/JSA-7.3.3-qcow2-Release-Notes.md
JSA-7.4.0-qcow2-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.4.0,19,markdown2/extracted/jsa-doc-archives-7.4.0/JSA-7.4.0-qcow2-Release-Notes.md
JSA-7.4.1-qcow2-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.4.1,19,markdown2/extracted/jsa-doc-archives-7.4.1/JSA-7.4.1-qcow2-Release-Notes.md
strm-nsm-plugin-guide,Juniper Networks NSM Plug-In User Guide,log-source,STRM 2013.2,19,markdown2/extracted/strm-doc-archives/2013_2/strm-nsm-plugin-guide.md
strm-va-installation-guide,STRM VA Installation Guide,deployment,STRM 2013.1,19,markdown2/extracted/strm-doc-archives/2013_1/strm-va-installation-guide.md
jatp-traffic-collector-quick-start,Juniper_ATP_Appliance_Traffic_Collector_Quick_Start.book,jatp,JATP archive,18,markdown2/extracted/jatp-doc-archives/jatp-traffic-collector-quick-start.md
jatp-vcore-for-aws-quick-start-guide,Juniper ATP Appliance vCore for AWS Quick Start Guide.book,jatp,JATP archive,18,markdown2/extracted/jatp-doc-archives/jatp-vcore-for-aws-quick-start-guide.md
jsa-custom-properties-content-extension,Custom Event Properties for IBM Z/OS,rules-offenses,JSA 7.4.1,18,markdown2/extracted/jsa-doc-archives-7.4.1/jsa-custom-properties-content-extension.md
jsa-custom-properties-content-extension-7.4.1,Custom Event Properties for IBM Z/OS,rules-offenses,JSA 7.4.1,18,markdown2/extracted/jsa-doc-archives-7.4.1/jsa-custom-properties-content-extension-7.4.1.md
jsa-juniper-pcap,Juniper Secure Analytics Managing Juniper SRX PCAP Data,flows-pcap,JSA 7.4.2,18,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-juniper-pcap.md
strm-troubleshooting-guide,STRM Troubleshooting7.1.book,operations,STRM 2013.2,17,markdown2/extracted/strm-doc-archives/2013_2/strm-troubleshooting-guide.md
strm-usb-install,Installing STM Using a Bootable USB Flash Drive,deployment,STRM 2013.2,17,markdown2/extracted/strm-doc-archives/2013_2/strm-usb-install.md
jsa-adobe-flash-eol-changes-to-csm-7.4.2,Juniper Secure Analytics Risk Manager: Adobe Flash End of Life and Changes to Configuratio,risk-vulnerability,JSA 7.4.2,16,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-adobe-flash-eol-changes-to-csm-7.4.2.md
jsa-custom-event-properties-ibmzos,Custom Event Properties for IBM Z/OS,general,JSA 7.3.3,16,markdown2/extracted/jsa-doc-archives-7.3.3/jsa-custom-event-properties-ibmzos.md
jsa-custom-properties-7.4.2,Custom Event Properties for IBM Z/OS,general,JSA 7.4.2,16,markdown2/extracted/jsa-doc-archives-7.4.2/jsa-custom-properties-7.4.2.md
jsa-release-notes-2014.1-patch1,JSA Patch 1 release Notes,operations,JSA 2014.1,16,markdown2/extracted/jsa-doc-archives-2014.1/jsa-release-notes-2014.1-patch1.md
jsa-usb-install,Installing JSA Using a Bootable USB Flash Drive,deployment,JSA 2014.2,16,markdown2/extracted/jsa-doc-archives-2014.2/jsa-usb-install.md
pathway-x-force-threat-intelligence-technote,Juniper Secure Analytics - X-Force Frequently Asked Questions (FAQs),rules-offenses,JSA 7.3.1,16,markdown2/extracted/jsa-doc-archives-7.3.1/pathway-x-force-threat-intelligence-technote.md
strm-reconfiguring-offboard-storage,Reconfiguring Offboard Storage,operations,STRM 2013.2,16,markdown2/extracted/strm-doc-archives/2013_2/strm-reconfiguring-offboard-storage.md
JSA-7.3.1-Patch-9-Patch-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.3.1,15,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-9-Patch-Release-Notes.md
jsa-snmp-traps,SNMP Trap Configuration,general,JSA 2014.1,15,markdown2/extracted/jsa-doc-archives-2014.1/jsa-snmp-traps.md
strm-custom-event-properties-ibmzos,CUSTOM EVENT PROPERTIES FOR IBM Z/OS,general,STRM 2013.2,15,markdown2/extracted/strm-doc-archives/2013_2/strm-custom-event-properties-ibmzos.md
strm-customizing-snmp-traps,STRM NSM Plug-In User Guide,log-source,STRM 2013.1,15,markdown2/extracted/strm-doc-archives/2013_1/strm-customizing-snmp-traps.md
strm-snmp-traps,SNMP Trap Configuration Technical Note,general,STRM 2013.2,15,markdown2/extracted/strm-doc-archives/2013_2/strm-snmp-traps.md
JSA-7.3.1-Patch-7-Patch-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.3.1,14,markdown2/extracted/jsa-doc-archives-7.3.1/JSA-7.3.1-Patch-7-Patch-Release-Notes.md
JSA-7.3.3-Patch-7-Fix-Pack-7-SFS-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.3.3,14,markdown2/extracted/jsa-doc-archives-7.3.3/JSA-7.3.3-Patch-7-Fix-Pack-7-SFS-Release-Notes.md
JSA-7.4.1-SFS-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.4.1,14,markdown2/extracted/jsa-doc-archives-7.4.1/JSA-7.4.1-SFS-Release-Notes.md
JSA-7.4.1-SFS-Release-Notes ,Juniper Secure Analytics Release Notes,operations,JSA 7.4.1,14,markdown2/extracted/jsa-doc-archives-7.4.1/JSA-7.4.1-SFS-Release-Notes .md
jatp-core-central-manager-quick-start,JuniperATP-Appliance-Core-Central Manager Quick Start.book,jatp,JATP archive,14,markdown2/extracted/jatp-doc-archives/jatp-core-central-manager-quick-start.md
jsa-common-ports-list,Juniper Secure Analytics Common Ports Guide,operations,JSA 2014.6,14,markdown2/extracted/jsa-doc-archives-2014.6/jsa-common-ports-list.md
jsa-reconfiguring-offboard-storage,jsa-reconfiguring-offboard-storage,operations,JSA 2014.8,14,markdown2/extracted/jsa-doc-archives-2014.8/jsa-reconfiguring-offboard-storage.md
jsa-tail2-syslog,Forwarding Logs Using Tail2Syslog,log-source,JSA 7.3.3,14,markdown2/extracted/jsa-doc-archives-7.3.3/jsa-tail2-syslog.md
pathway-page-m-container-qlm-migration,Migrating Log Manager to Juniper Secure Analytics,deployment,JSA 7.3.3,14,markdown2/extracted/jsa-doc-archives-7.3.3/pathway-page-m-container-qlm-migration.md
strm-configuring-iSCSI,Configuring iSCSI,general,STRM 2013.1,14,markdown2/extracted/strm-doc-archives/2013_1/strm-configuring-iSCSI.md
JSA-7.3.3-SFS-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.3.3,13,markdown2/extracted/jsa-doc-archives-7.3.3/JSA-7.3.3-SFS-Release-Notes.md
JSA-7.4.0-ISO-Release-Notes,Juniper Secure AnalyticsPatch Release Notes,operations,JSA 7.4.0,13,markdown2/extracted/jsa-doc-archives-7.4.0/JSA-7.4.0-ISO-Release-Notes.md
JSA-7.4.0-SFS-Release-Notes,Juniper Secure Analytics Release Notes,operations,JSA 7.4.0,13,markdown2/extracted/jsa-doc-archives-7.4.0/JSA-7.4.0-SFS-Release-Notes.md
JSA2014.2patch4-Release-Notes,JSA 2014.2.r4 Patch Release Notes,operations,JSA 2014.2,13,markdown2/extracted/jsa-doc-archives-2014.2/JSA2014.2patch4-Release-Notes.md
STRM-2013.2.r10-Patch-Release-Notes,STRM/JSA 2013.2.r10 Pacth Release Notes,operations,JSA 2014.3,13,markdown2/extracted/jsa-doc-archives-2014.3/STRM-2013.2.r10-Patch-Release-Notes.md
